artifact_id,metric_name,artifact_type
T1_stagewise_model_complexity,stage,table
T1_stagewise_model_complexity,status,table
T1_stagewise_model_complexity,core_function,table
T1_stagewise_model_complexity,instance_label,table
T1_stagewise_model_complexity,variable_count,table
T1_stagewise_model_complexity,constraint_count,table
T1_stagewise_model_complexity,check_summary,table
T2_baseline_and_ablation,sort_order,table
T2_baseline_and_ablation,experiment_id,table
T2_baseline_and_ablation,model_stage,table
T2_baseline_and_ablation,status,table
T2_baseline_and_ablation,success,table
T2_baseline_and_ablation,objective_value,table
T2_baseline_and_ablation,economic_risk,table
T2_baseline_and_ablation,environmental_impact,table
T2_baseline_and_ablation,assembly_quality_loss,table
T2_baseline_and_ablation,expected_assembled_units,table
T2_baseline_and_ablation,expected_final_backlog_units,table
T2_baseline_and_ablation,cvar_value,table
T2_baseline_and_ablation,expected_assembly_shortfall_units,table
T2_baseline_and_ablation,solve_seconds,table
T2_baseline_and_ablation,pareto_points,table
T2_baseline_and_ablation,warning,table
T2_baseline_and_ablation,table_group,table
T2_baseline_and_ablation,before_experiment_id,table
T2_baseline_and_ablation,after_experiment_id,table
T2_baseline_and_ablation,before_stage,table
T2_baseline_and_ablation,after_stage,table
T2_baseline_and_ablation,before_status,table
T2_baseline_and_ablation,after_status,table
T2_baseline_and_ablation,objective_delta,table
T2_baseline_and_ablation,economic_risk_delta,table
T2_baseline_and_ablation,expected_backlog_delta,table
T2_baseline_and_ablation,cvar_delta,table
T2_baseline_and_ablation,assembly_shortfall_delta,table
T2_baseline_and_ablation,runtime_delta_seconds,table
T3_pareto_payoff_and_representatives,payoff_name,table
T3_pareto_payoff_and_representatives,success,table
T3_pareto_payoff_and_representatives,status,table
T3_pareto_payoff_and_representatives,message,table
T3_pareto_payoff_and_representatives,fallback_used,table
T3_pareto_payoff_and_representatives,economic_risk,table
T3_pareto_payoff_and_representatives,environmental_impact,table
T3_pareto_payoff_and_representatives,assembly_quality_loss,table
T3_pareto_payoff_and_representatives,payload,table
T3_pareto_payoff_and_representatives,representative,table
T3_pareto_payoff_and_representatives,grid_id,table
T3_pareto_payoff_and_representatives,solver_status,table
T4_exact_vs_matheuristic_and_top5,comparison_id,table
T4_exact_vs_matheuristic_and_top5,exact_status,table
T4_exact_vs_matheuristic_and_top5,approx_status,table
T4_exact_vs_matheuristic_and_top5,exact_pareto_points,table
T4_exact_vs_matheuristic_and_top5,approx_pareto_points,table
T4_exact_vs_matheuristic_and_top5,exact_min_economic_risk,table
T4_exact_vs_matheuristic_and_top5,approx_min_economic_risk,table
T4_exact_vs_matheuristic_and_top5,economic_risk_gap_abs,table
T4_exact_vs_matheuristic_and_top5,economic_risk_gap_pct,table
T4_exact_vs_matheuristic_and_top5,environmental_gap_abs,table
T4_exact_vs_matheuristic_and_top5,assembly_quality_gap_abs,table
T4_exact_vs_matheuristic_and_top5,exact_runtime_seconds,table
T4_exact_vs_matheuristic_and_top5,approx_runtime_seconds,table
