component_instance_id,core_id,component_type,quality_state,inspection_period,period_id,route_id,economic_cost_rmb,environmental_score,energy_kwh,water_m3,pollutant_kg,carbon_kg,expected_output_quality,expected_residual_life_h,risk_penalty,productive_output,resource_h__assembly,resource_h__cleaning,resource_h__drying,resource_h__grinding,resource_h__heat_treatment,resource_h__incoming_inspection,resource_h__inspection,resource_h__laser,resource_h__machining,resource_h__procurement,resource_h__quality_monitoring,resource_h__reliability_assessment,resource_h__scrap_handling,resource_h__testing,resource_h__waste_treatment
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0006,R3,8623.61,43.4913677,135.73464,0.10813099999999999,0.563892,88.63259,0.70494,18652.056,0.037059536,1,2.487,1.1489,0.0,4.1542,0.0,0.0,1.3829,0.0,10.5862,0.0,0.6598,0.9767,0.0,1.1195,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0006,R5,9748.71,47.682424,147.71625,0.125302,0.632331,96.42904,0.7297600000000001,18783.600000000002,0.03394214399999999,1,2.9233000000000002,1.2215,0.0,6.0956,0.0,0.0,1.078,0.0,10.0817,0.0,0.9276,1.0194,0.0,1.2604,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0006,R6,73404.19,2.0719719999999997,7.3199499999999995,0.000896,0.014655999999999999,4.879519999999999,0.96,26915.7,0.005024000000000004,1,1.8974,0.0,0.0,0.0,0.0,0.5548,0.0,0.0,0.0,0.5761,0.3423,0.0,0.0,0.8957,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0006,R7,281.86,0.8524285,1.42555,0.00311,0.025499,1.08029,0.0,0.0,0.1256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868,0.0,0.0,0.0,0.0,0.0,0.3809,0.0,0.5251
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0007,R3,8623.61,43.4913677,135.73464,0.10813099999999999,0.563892,88.63259,0.70494,18652.056,0.037059536,1,2.487,1.1489,0.0,4.1542,0.0,0.0,1.3829,0.0,10.5862,0.0,0.6598,0.9767,0.0,1.1195,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0007,R5,9748.71,47.682424,147.71625,0.125302,0.632331,96.42904,0.7297600000000001,18783.600000000002,0.03394214399999999,1,2.9233000000000002,1.2215,0.0,6.0956,0.0,0.0,1.078,0.0,10.0817,0.0,0.9276,1.0194,0.0,1.2604,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0007,R6,73404.19,2.0719719999999997,7.3199499999999995,0.000896,0.014655999999999999,4.879519999999999,0.96,26915.7,0.005024000000000004,1,1.8974,0.0,0.0,0.0,0.0,0.5548,0.0,0.0,0.0,0.5761,0.3423,0.0,0.0,0.8957,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0007,R7,281.86,0.8524285,1.42555,0.00311,0.025499,1.08029,0.0,0.0,0.1256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868,0.0,0.0,0.0,0.0,0.0,0.3809,0.0,0.5251
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0008,R3,8623.61,43.4913677,135.73464,0.10813099999999999,0.563892,88.63259,0.70494,18652.056,0.037059536,1,2.487,1.1489,0.0,4.1542,0.0,0.0,1.3829,0.0,10.5862,0.0,0.6598,0.9767,0.0,1.1195,0.0
C000001_ball_screw_01,C000001,ball_screw,C,T0006,T0008,R5,9748.71,47.682424,147.71625,0.125302,0.632331,96.42904,0.7297600000000001,18783.600000000002,0.03394214399999999,1,2.9233000000000002,1.2215,0.0,6.0956,0.0,0.0,1.078,0.0,10.0817,0.0,0.9276,1.0194,0.0,1.2604,0.0
