scenario_id,saa_probability,macro_group,component_instance_id,core_id,component_type,quality_state_baseline,quality_state_before_scenario,inspection_period,period_id,period_offset_from_inspection,route_id,route_category,scenario_quality_score,scenario_residual_life_h,scenario_failure_probability,economic_cost_rmb,environmental_score,expected_output_quality,expected_residual_life_h,risk_penalty,warranty_risk_cost_rmb,productive_output,resource_h__assembly,resource_h__cleaning,resource_h__drying,resource_h__grinding,resource_h__heat_treatment,resource_h__incoming_inspection,resource_h__inspection,resource_h__laser,resource_h__machining,resource_h__procurement,resource_h__quality_monitoring,resource_h__reliability_assessment,resource_h__scrap_handling,resource_h__testing,resource_h__waste_treatment,reliability_scenario,survival_probability_at_min_system_life,survival_probability_at_warranty_life,posterior_warranty_failure_probability,chance_constraint_alpha,min_system_reliability_reference,chance_constraint_satisfied_flag,reliability_risk_index,cvar_reliability_risk_weight,stage5_chance_pass,risk_row_count,cvar_model_weight_sum,route_tail_loss_rmb,route_cvar95_loss_rmb,route_risk_index,risk_index_max,impact_cost_mean_sum,var95_loss_max,stage5_reliability_joined,stage5_risk_joined
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0006,0,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0007,1,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0008,2,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0009,3,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0010,4,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0011,5,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0012,6,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_bed_01,C000001,bed,B,B,T0006,T0013,7,R6,replacement,0.678835,19417.647,0.15081338,111207.1137,0.34034614,0.897492,29214.075,0.027837,13222.2,1,2.8960873209247735,0.0,0.0,0.0,0.0,0.8109763645433776,0.0,0.0,0.0,1.1435817800834225,0.47505180972143624,0.0,0.0,1.2723367247269908,0.0,nominal,0.96585,0.995865,0.027837,0.948369,0.934626,1,0.283517,0.666586,True,9,4.64450783,350984.7246798593,382709.14523109054,0.4370073510260946,0.70231552,2247784.188,1270385.4943,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_guideway_01,C000001,guideway,B,B,T0006,T0006,0,R6,replacement,0.626465,16037.302,0.16816543,61240.579,0.34034614,0.897492,27690.3,0.029414,7156.99,1,3.0012661138890095,0.0,0.0,0.0,0.0,0.7941816104935334,0.0,0.0,0.0,0.8023009511657078,0.48055487503784766,0.0,0.0,1.284782449413902,0.0,nominal,0.960529,0.995211,0.029414,0.947054,0.933755,1,0.289199,0.649623,True,9,4.54273757,272556.1005929988,297375.5443472323,0.4141448125041622,0.60052712,1759512.1869,1183874.1946,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_guideway_01,C000001,guideway,B,B,T0006,T0007,1,R6,replacement,0.626465,16037.302,0.16816543,61240.579,0.34034614,0.897492,27690.3,0.029414,7156.99,1,3.0012661138890095,0.0,0.0,0.0,0.0,0.7941816104935334,0.0,0.0,0.0,0.8023009511657078,0.48055487503784766,0.0,0.0,1.284782449413902,0.0,nominal,0.960529,0.995211,0.029414,0.947054,0.933755,1,0.289199,0.649623,True,9,4.54273757,272556.1005929988,297375.5443472323,0.4141448125041622,0.60052712,1759512.1869,1183874.1946,True,True
S001,0.2597184985687799,baseline_normal_operation,C000001_guideway_01,C000001,guideway,B,B,T0006,T0008,2,R6,replacement,0.626465,16037.302,0.16816543,61240.579,0.34034614,0.897492,27690.3,0.029414,7156.99,1,3.0012661138890095,0.0,0.0,0.0,0.0,0.7941816104935334,0.0,0.0,0.0,0.8023009511657078,0.48055487503784766,0.0,0.0,1.284782449413902,0.0,nominal,0.960529,0.995211,0.029414,0.947054,0.933755,1,0.289199,0.649623,True,9,4.54273757,272556.1005929988,297375.5443472323,0.4141448125041622,0.60052712,1759512.1869,1183874.1946,True,True
