scenario_id,scenario_label,component_type,quality_state_before,route_id,expected_quality_score_after,survival_probability_at_min_system_life,survival_probability_at_warranty_life,posterior_warranty_failure_probability,chance_constraint_alpha,min_system_reliability_reference,chance_constraint_satisfied_flag,reliability_risk_index,cvar_reliability_risk_weight,warranty_reserve_cost_rmb,expected_failure_cost_rmb,min_system_reliability_threshold,stage5_chance_pass
S001,nominal,ball_screw,A,R1,0.87816,0.837617,0.964826,0.050138,0.946995,0.940903,0,0.276403,0.635927,1471.72,6272.56,0.93,False
S001,nominal,ball_screw,A,R2,0.88953,0.836687,0.964398,0.053221,0.946995,0.940903,0,0.284046,0.638984,1562.21,6363.05,0.93,False
S001,nominal,ball_screw,A,R6,0.89783,0.917243,0.985749,0.030194,0.946995,0.940903,0,0.267786,0.63248,886.28,5687.12,0.93,False
S001,nominal,ball_screw,B,R2,0.73948,0.836329,0.964232,0.061096,0.946995,0.940903,0,0.300068,0.645393,1793.37,6594.21,0.93,False
S001,nominal,ball_screw,B,R3,0.79774,0.845139,0.968194,0.074276,0.946995,0.940903,0,0.338254,0.660667,2180.22,6981.07,0.93,False
S001,nominal,ball_screw,B,R5,0.80328,0.844114,0.967746,0.079,0.946995,0.940903,0,0.346641,0.664022,2318.88,7119.73,0.93,False
S001,nominal,ball_screw,B,R6,0.89783,0.917243,0.985749,0.030394,0.946995,0.940903,0,0.280317,0.637492,892.15,5692.99,0.93,False
S001,nominal,ball_screw,C,R3,0.68252,0.817924,0.955173,0.117679,0.946995,0.940903,0,0.372325,0.674296,3454.25,8255.09,0.93,False
S001,nominal,ball_screw,C,R5,0.70733,0.817082,0.954734,0.123108,0.946995,0.940903,0,0.378925,0.676936,3613.6,8414.44,0.93,False
S001,nominal,ball_screw,C,R6,0.89771,0.896618,0.978536,0.03197,0.946995,0.940903,0,0.296336,0.6439,938.43,5739.27,0.93,False
S001,nominal,ball_screw,C,R7,0.0,0.0,0.0,0.357144,0.946995,0.940903,0,0.648211,0.78465,10483.28,15284.13,0.93,False
S001,nominal,ball_screw,D,R6,0.89732,0.876069,0.970036,0.034607,0.946995,0.940903,0,0.314698,0.651245,1015.81,5816.66,0.93,False
S001,nominal,ball_screw,D,R7,0.0,0.0,0.0,0.362454,0.946995,0.940903,0,0.681071,0.797794,10639.15,15439.99,0.93,False
S001,nominal,base,A,R1,0.87804,0.919187,0.987421,0.048255,0.943,0.90359,0,0.296148,0.635813,521.59,6846.27,0.93,False
S001,nominal,base,A,R2,0.88985,0.918516,0.987224,0.051233,0.943,0.90359,0,0.303613,0.638799,553.78,6878.45,0.93,False
S001,nominal,base,A,R6,0.89783,0.966261,0.995919,0.029262,0.943,0.90359,1,0.287869,0.632502,316.29,6640.96,0.93,True
S001,nominal,base,B,R2,0.74972,0.918275,0.987153,0.058087,0.943,0.90359,0,0.319228,0.645045,627.86,6952.54,0.93,False
S001,nominal,base,B,R3,0.79724,0.924679,0.988983,0.072704,0.943,0.90359,0,0.357643,0.660411,785.87,7110.54,0.93,False
S001,nominal,base,B,R5,0.80275,0.923956,0.988783,0.077366,0.943,0.90359,0,0.365846,0.663693,836.25,7160.93,0.93,False
S001,nominal,base,B,R6,0.89783,0.966261,0.995919,0.02947,0.943,0.90359,1,0.300451,0.637534,318.54,6643.21,0.93,True
S001,nominal,base,C,R3,0.68532,0.904347,0.98272,0.114358,0.943,0.90359,0,0.390605,0.673596,1236.11,7560.78,0.93,False
S001,nominal,base,C,R4,0.77544,0.901767,0.981832,0.131176,0.943,0.90359,0,0.416874,0.684104,1417.89,7742.56,0.93,False
S001,nominal,base,C,R5,0.71067,0.903696,0.982498,0.119844,0.943,0.90359,0,0.397207,0.676237,1295.4,7620.07,0.93,False
S001,nominal,base,C,R6,0.89772,0.953837,0.993058,0.030261,0.943,0.90359,1,0.316327,0.643885,327.1,6651.77,0.93,True
S001,nominal,base,C,R7,0.0,0.0,0.0,0.356091,0.943,0.90359,0,0.662539,0.78237,3849.03,10173.7,0.93,False
S001,nominal,base,D,R4,0.53341,0.873494,0.970746,0.283394,0.943,0.90359,0,0.529497,0.729153,3063.23,9387.91,0.93,False
S001,nominal,base,D,R6,0.89735,0.940429,0.989305,0.032043,0.943,0.90359,0,0.334484,0.651148,346.35,6671.03,0.93,False
S001,nominal,base,D,R7,0.0,0.0,0.0,0.363441,0.943,0.90359,0,0.702085,0.798188,3928.48,10253.15,0.93,False
