grid_id,env_rank,assembly_rank,env_epsilon,assembly_epsilon,env_degenerate_range,assembly_degenerate_range
G001,0,0,0.0,0.0,False,False
G002,0,1,0.0,609112.618614744,False,False
G003,0,2,0.0,1218225.237229488,False,False
G004,0,3,0.0,1827337.8558442323,False,False
G005,0,4,0.0,2436450.474458976,False,False
G006,1,0,668.0345766666667,0.0,False,False
G007,1,1,668.0345766666667,609112.618614744,False,False
G008,1,2,668.0345766666667,1218225.237229488,False,False
G009,1,3,668.0345766666667,1827337.8558442323,False,False
G010,1,4,668.0345766666667,2436450.474458976,False,False
G011,2,0,1336.0691533333334,0.0,False,False
G012,2,1,1336.0691533333334,609112.618614744,False,False
G013,2,2,1336.0691533333334,1218225.237229488,False,False
G014,2,3,1336.0691533333334,1827337.8558442323,False,False
G015,2,4,1336.0691533333334,2436450.474458976,False,False
G016,3,0,2004.10373,0.0,False,False
G017,3,1,2004.10373,609112.618614744,False,False
G018,3,2,2004.10373,1218225.237229488,False,False
G019,3,3,2004.10373,1827337.8558442323,False,False
G020,3,4,2004.10373,2436450.474458976,False,False
G021,4,0,2672.1383066666667,0.0,False,False
G022,4,1,2672.1383066666667,609112.618614744,False,False
G023,4,2,2672.1383066666667,1218225.237229488,False,False
G024,4,3,2672.1383066666667,1827337.8558442323,False,False
G025,4,4,2672.1383066666667,2436450.474458976,False,False
